OBJECTID,solute,beta_drought_like,beta_non_drought_highflow,beta_normal,beta_post_drought_rewetting,alpha_drought_like,alpha_non_drought_highflow,alpha_normal,alpha_post_drought_rewetting,n_obs_drought_like,n_obs_non_drought_highflow,n_obs_normal,n_obs_post_drought_rewetting,cv_c_drought_like,cv_c_non_drought_highflow,cv_c_normal,cv_c_post_drought_rewetting,cv_q_drought_like,cv_q_non_drought_highflow,cv_q_normal,cv_q_post_drought_rewetting,cv_ratio_drought_like,cv_ratio_non_drought_highflow,cv_ratio_normal,cv_ratio_post_drought_rewetting,delta_beta_drought_like,delta_cv_ratio_drought_like,delta_beta_post_drought_rewetting,delta_cv_ratio_post_drought_rewetting,delta_beta_non_drought_highflow,delta_cv_ratio_non_drought_highflow
199,PO4P,0.6263423658286498,0.504347213214268,0.46882548117621464,0.44761886245072025,-6.082342646408875,-5.552997921077355,-5.556375448312989,-5.403702576173073,72.0,64.0,165.0,23.0,0.35620576337817406,0.3109857821764428,0.33770229905133403,0.31116685191656523,0.37250728505674474,0.2582896676008301,0.33728091425454765,0.2758931093375281,0.9562383815498067,1.2040194447772146,1.0012493585583333,1.1278529306648366,0.15751688465243513,-0.04501097700852663,-0.021206618725494397,0.1266035721065033,0.035521732038053366,0.20277008621888126
200,NO3N,0.3384897834967587,0.1961467566992387,0.23291018823518525,0.24365202093410052,0.8595242802792707,0.8017254511966148,0.8441112694310593,0.7651192334645318,72.0,69.0,171.0,12.0,0.12376362169766329,0.12918032341933758,0.11610902600027082,0.11863456354097308,0.2620234871217501,0.3232708190518746,0.3099981553164593,0.3054137458972674,0.4723378925193683,0.3996040341600034,0.374547473941391,0.38843884774223103,0.10557959526157343,0.09779041857797732,0.010741832698915266,0.013891373800840046,-0.03676343153594655,0.02505656021861241
200,PO4P,-0.22947397347728987,0.09939012209673388,-0.10988535035061496,-0.030507436033872026,-3.596640086365463,-3.3727264073128596,-3.430982203581582,-3.433185811449996,72.0,69.0,171.0,12.0,0.36498710445755145,0.3588258356698058,0.33650890772599695,0.25821037045268586,0.2620234871217501,0.3232708190518746,0.3099981553164593,0.3054137458972674,1.3929556791523767,1.109985233811734,1.0855190650488689,0.845444495938112,-0.11958862312667491,0.30743661410350787,0.07937791431674293,-0.24007456911075686,0.20927547244734884,0.024466168762865115
201,NO3N,0.14648648470773734,-0.017722714530191728,0.1919798908456851,0.17915922151311556,0.8363555241902487,1.1455572378955294,0.6917642902359109,0.6550172227539999,72.0,71.0,157.0,12.0,0.1252380789725454,0.12382242754048958,0.11744338406338024,0.1515341233623901,0.2568450886085443,0.15609712413363885,0.18308080731330734,0.17350540486289678,0.48760161095943644,0.7932396463273849,0.6414838659871028,0.8733683165785626,-0.04549340613794775,-0.1538822550276664,-0.012820669332569534,0.2318844505914598,-0.20970260537587682,0.15175578034028203
201,PO4P,-0.18438074181975464,-0.17137909778684512,-0.24863403374031556,-0.3778174841999184,-2.974811594473937,-2.6873214188836023,-2.61583240671193,-2.383040662418003,72.0,71.0,157.0,12.0,0.3284707363377434,0.21697231213905052,0.23264294340027733,0.2644784209515643,0.2568450886085443,0.15609712413363885,0.18308080731330734,0.17350540486289678,1.278867110588839,1.3899827645337963,1.2707118065202432,1.5243238166589337,0.06425329192056092,0.00815530406859577,-0.12918345045960283,0.2536120101386905,0.07725493595347044,0.11927095801355314
212,NO3N,-0.11166862460763047,0.15485431812288464,-0.01625427769435299,0.6340503521136229,0.7913310822581723,0.2692044281543934,0.658830293931551,-0.7935983274353962,60.0,59.0,135.0,10.0,0.14975910615914703,0.08429220360957161,0.1179999959235548,0.11060679427084562,0.5191235852247817,0.08287870752417485,0.21677330348704948,0.09656560436518992,0.28848449660460135,1.0170549967249967,0.5443474543469528,1.1454057062860084,-0.09541434691327748,-0.2558629577423514,0.6503046298079759,0.6010582519390556,0.17110859581723764,0.4727075423780439
212,PO4P,-0.19645843947901973,-1.312988540926958,-0.40376101145058463,-1.3427847524381635,-2.785850244618028,-0.058650435866299144,-2.2149079900608566,-0.155051239185652,60.0,59.0,135.0,10.0,0.2709400279639581,0.18286040508888526,0.2359684927145874,0.20857424087782128,0.5191235852247817,0.08287870752417485,0.21677330348704948,0.09656560436518992,0.5219181629874136,2.2063616886827875,1.088549599599033,2.1599226996916965,0.2073025719715649,-0.5666314366116195,-0.9390237409875789,1.0713731000926634,-0.9092275294763733,1.1178120890837544
218,DOC,-0.0678961886710642,0.049196945657407676,-0.017249234625740947,-0.048712470490566886,1.2616670246394868,1.30048903563254,1.2882446802987952,1.399022578720767,53.0,50.0,143.0,6.0,0.07257994353134277,0.0836650360484256,0.05558934497322924,0.10032777381612312,0.2603107046755491,0.32585899086997744,0.32158303826821555,0.24235819378580445,0.2788204335346343,0.25675227135840845,0.17286155785015342,0.4139648519776994,-0.05064695404532325,0.1059588756844809,-0.03146323586482594,0.24110329412754597,0.06644618028314862,0.08389071350825503
218,NO3N,0.1573477908590123,-0.022658880862422435,0.024385713448537776,-0.15242536450617689,1.7028189611778497,1.698795596601861,1.7226054779356192,1.9229972893254628,71.0,64.0,181.0,8.0,0.20734763412290533,0.1433005633035237,0.1766687849262416,0.1499988443298433,0.2583168235073279,0.33322072802343167,0.32280889915264493,0.2571598031939119,0.8026873020023155,0.43004696662641884,0.5472859806219319,0.5832903994592668,0.13296207741047453,0.25540132138038363,-0.17681107795471465,0.03600441883733485,-0.04704459431096021,-0.11723901399551306
218,PO4P,-0.10384106463193325,-0.36021905700549467,-0.38695630014621313,,-1.684534717166398,-1.1815388246732879,-1.3375874115833355,,71.0,67.0,184.0,2.0,0.38650391355183045,0.2544967770361167,0.3031015410043072,,0.2583168235073279,0.337328448962661,0.3223223033484069,,1.4962398046864578,0.7544480099995569,0.9403678797761523,,0.28311523551427986,0.5558719249103055,,,0.02673724314071846,-0.18591986977659547
